filename,z
synthetic_000.png,"[-1.0384089946746826, -0.37967249751091003, 0.7389488816261292, -0.614027202129364, 0.9380624294281006, 0.16016322374343872, -0.0975494533777237, -0.8800013661384583, 1.6353641748428345, -0.1772463470697403, -0.011805933900177479, -1.0312271118164062, 0.724651575088501, 0.4164588451385498, 0.7450931072235107, -0.4685586094856262, -0.7536518573760986, -0.23366430401802063, 1.9308946132659912, 0.5285909175872803, -0.12766753137111664, 0.20040233433246613, -0.8395187854766846, -1.792586326599121, 0.6095688939094543, -1.6844793558120728, 1.541373372077942, -1.5007773637771606, -0.6687158942222595, -2.092322587966919, 0.6600121855735779, -0.6430331468582153]"
synthetic_001.png,"[1.117963433265686, -0.12697356939315796, 0.1835896521806717, 1.7439854145050049, -0.5201402902603149, -0.05514206364750862, -0.008522946387529373, -0.19952161610126495, 1.0588892698287964, -1.5569950342178345, -0.37149176001548767, -1.4102418422698975, 0.07707369327545166, -1.1793832778930664, 0.8275493383407593, -0.13279785215854645, -0.6910113096237183, 0.6577086448669434, 0.13219763338565826, 0.8825310468673706, -0.044682059437036514, 0.6749669313430786, -0.0485793761909008, -1.1933374404907227, -0.6499472856521606, -0.08484692126512527, -0.8932878375053406, -0.5431182384490967, -0.030973300337791443, -2.1783695220947266, -0.44836893677711487, 1.3766478300094604]"
synthetic_002.png,"[-0.8557386994361877, 3.0156567096710205, 0.11393188685178757, -0.8327017426490784, -1.602440595626831, -1.0201046466827393, 0.9892562627792358, 0.898959219455719, -1.0736792087554932, -0.7482591867446899, 1.2825829982757568, 0.6827101111412048, -0.330435186624527, -0.914421021938324, -0.854803740978241, -0.19652731716632843, -0.38272783160209656, -0.5453352928161621, -1.6614086627960205, 1.2520027160644531, -0.1425359696149826, 0.8266744613647461, -0.38085123896598816, 0.9511585831642151, -1.4238102436065674, 0.024418696761131287, 0.014766061678528786, -1.5091125965118408, -0.517935574054718, -1.360176920890808, 2.057497501373291, 0.7654140591621399]"
synthetic_003.png,"[2.0053415298461914, -1.3834741115570068, -0.3932722508907318, -1.7352348566055298, -1.4023736715316772, 0.11342619359493256, 0.8132752776145935, -0.9470816850662231, 0.48635491728782654, 1.4557409286499023, -0.45546016097068787, -0.5426424741744995, 0.03862528130412102, 0.509527325630188, -1.4067022800445557, 0.17773932218551636, -0.5596455931663513, 0.30531617999076843, 0.2716284394264221, 0.5995340347290039, 0.3505987823009491, -0.982135534286499, 0.11531774699687958, -0.8171907067298889, 0.22549422085285187, 0.5440155267715454, -0.5910075902938843, -0.7803550362586975, 0.9287078976631165, -0.8676998019218445, 1.2382968664169312, 0.27750182151794434]"
synthetic_004.png,"[0.5255091786384583, -0.875603199005127, 0.09401810169219971, 0.07678426802158356, -1.3475929498672485, -0.8441514372825623, -1.0223534107208252, -0.24765151739120483, -0.6256363391876221, -1.5827897787094116, -0.31881579756736755, 0.5146771669387817, -1.0578967332839966, 0.26316195726394653, -0.7960964441299438, -2.1164987087249756, 0.33996427059173584, -0.3187694251537323, -1.4041873216629028, -0.6579599380493164, 0.9183267951011658, -1.9139347076416016, 1.5638550519943237, -0.5483304858207703, 0.6873344779014587, -0.11055415868759155, -2.1429858207702637, 1.192429780960083, 0.8825855255126953, 0.4166257381439209, -0.7061498165130615, 0.970469057559967]"
synthetic_005.png,"[-0.06885644793510437, -0.07943154871463776, -0.5193583965301514, -0.2468298375606537, 1.241559624671936, 0.011004887521266937, 0.8849828243255615, -0.8599250316619873, -1.2996141910552979, 0.5973637700080872, 0.6879950165748596, 0.5878812670707703, 0.2530432939529419, -0.8182063698768616, -0.6594355702400208, -0.5703102946281433, -0.361907422542572, 0.11617779731750488, -0.6814250946044922, 0.38185614347457886, -0.11768077313899994, -0.6523846983909607, 2.372131586074829, 1.13494074344635, 0.36215683817863464, -0.23356984555721283, 1.3557093143463135, 1.5940370559692383, 0.4568406641483307, -0.5447083711624146, -0.3763148784637451, -0.10622470080852509]"
synthetic_006.png,"[-1.2173881530761719, 1.2766884565353394, -0.013346846215426922, 1.4459176063537598, 1.0637158155441284, 0.052220650017261505, 1.2711265087127686, 0.787181556224823, -1.6611350774765015, -0.5535858273506165, 1.8432470560073853, 1.4388628005981445, 1.8845582008361816, 0.1262677162885666, -0.11611132323741913, 0.8460503220558167, -0.9322999715805054, 0.47541865706443787, -0.03793271631002426, -0.49217844009399414, -0.8688381314277649, -0.7390554547309875, -1.528241515159607, 0.8991744518280029, -1.1479532718658447, -0.16396395862102509, -0.47395604848861694, -0.24922405183315277, -0.5208337903022766, -0.03901851549744606, 1.3818546533584595, -1.1942013502120972]"
synthetic_007.png,"[-0.362557053565979, 0.3788333237171173, -1.1671046018600464, 0.07684101909399033, -0.7492530941963196, 0.25667959451675415, 0.9947961568832397, 1.475353717803955, 0.5370806455612183, -0.973931610584259, 0.17830200493335724, 0.7205129861831665, -0.27019253373146057, -0.26384708285331726, -1.5771067142486572, -0.9445629715919495, 0.592380940914154, -0.2914922833442688, -0.5502219200134277, 1.6186864376068115, -0.34287741780281067, -1.445732593536377, 2.864319324493408, 0.6023401021957397, -0.2119632363319397, -0.7121348977088928, 0.7847859263420105, -0.024219857528805733, -1.1984950304031372, 1.0325136184692383, 0.8910131454467773, 1.0287582874298096]"
synthetic_008.png,"[0.8872436881065369, 0.23752941191196442, 0.13437139987945557, 0.10314518958330154, 0.09334804117679596, 1.1671503782272339, -0.7639512419700623, -2.8129329681396484, -0.6487002968788147, -0.9786165952682495, 1.1407514810562134, -1.804316520690918, -0.5234099626541138, -2.1409239768981934, 0.26525604724884033, 1.0555510520935059, 0.31661346554756165, -1.3105247020721436, 0.8756979703903198, -0.6574373841285706, -0.5802676677703857, -0.30504390597343445, -0.025025898590683937, -0.7315633296966553, 0.041118741035461426, -1.127626895904541, 0.3708007037639618, -0.25977039337158203, -0.5664401054382324, -0.020605051890015602, 0.10850673168897629, -0.29569435119628906]"
synthetic_009.png,"[0.2773815989494324, -1.4721589088439941, 1.6089340448379517, -0.37266385555267334, 2.0868265628814697, 0.9153099060058594, 0.33610665798187256, 1.0929157733917236, -0.7280580401420593, -1.1259243488311768, 0.6036972999572754, -0.19582021236419678, 0.4876500070095062, -0.6212653517723083, -1.4161994457244873, 0.20626139640808105, 0.30955034494400024, -0.09454592317342758, 1.4592372179031372, -2.590599536895752, -1.6159805059432983, -0.19373604655265808, 0.9697984457015991, -0.9743896126747131, 1.1406534910202026, 0.8159488439559937, -0.5582720041275024, 0.5143662095069885, 0.30172306299209595, 1.5221035480499268, 0.5076510310173035, -1.554291009902954]"
synthetic_010.png,"[0.706492006778717, 1.0913584232330322, 0.36456525325775146, -0.41619664430618286, 0.9239754676818848, 0.21469540894031525, 1.9633828401565552, 1.819925308227539, 0.846316933631897, -0.0049301148392260075, 2.167142629623413, 1.0204626321792603, -0.1093059778213501, -0.3507295548915863, -0.3926825225353241, 0.10736259073019028, 0.8699660301208496, -0.25484493374824524, 1.860564947128296, 0.42030295729637146, -0.21220563352108002, -1.4732177257537842, -0.29107987880706787, 1.065544843673706, -0.9297416806221008, 1.8144840002059937, -0.716010570526123, -1.678002953529358, 0.612659215927124, 2.204395294189453, -0.02288324013352394, 1.3466452360153198]"
synthetic_011.png,"[-0.9749859571456909, -0.17479246854782104, 1.162107229232788, 0.4446828365325928, 1.8093888759613037, 1.8506850004196167, -2.146050453186035, -1.0117528438568115, -0.6058258414268494, -0.7381920218467712, 0.737528920173645, 0.6973596215248108, 0.2822285294532776, 0.3099150061607361, 0.22522643208503723, 0.9975095987319946, -0.6486935019493103, -1.2252107858657837, 0.47277623414993286, 0.09493421018123627, -0.5594924688339233, 0.1555519700050354, 0.4777986407279968, 0.9331662654876709, -0.513062596321106, -1.280514121055603, 0.6215689778327942, -0.2202761322259903, 1.1049489974975586, -0.5701847672462463, -0.4945842921733856, -1.447880506515503]"
synthetic_012.png,"[1.4607831239700317, -0.0679643452167511, 0.023739032447338104, 0.4353583753108978, -0.38061949610710144, 1.3664445877075195, 0.48787498474121094, 0.3668191432952881, 0.048843953758478165, -0.728955090045929, 0.1464584320783615, 0.7162168025970459, 1.4471282958984375, 0.6902771592140198, 0.8613853454589844, 0.45131224393844604, 1.8580660820007324, -1.459831953048706, -0.9394374489784241, 0.8888429999351501, 0.12342831492424011, 1.5050636529922485, -0.17084412276744843, 1.027235746383667, 0.639800488948822, 1.283742070198059, -1.1289381980895996, -2.0938656330108643, -1.2676966190338135, 0.8127530813217163, 0.7374899983406067, 0.11214397102594376]"
synthetic_013.png,"[-0.169912189245224, -2.073207139968872, -0.21309949457645416, -0.18367153406143188, -1.6061973571777344, 0.9755172729492188, -2.07855486869812, 0.3601182997226715, -0.47670650482177734, 2.232653856277466, 0.001773487194441259, 0.4001956582069397, -0.1131177619099617, -0.21885645389556885, -1.0815250873565674, -0.183733269572258, -0.3053002953529358, 0.4606650769710541, -0.6222805976867676, 1.9340943098068237, 0.370158851146698, 0.3072008788585663, 1.2847647666931152, 0.7297713160514832, -0.6879755258560181, 1.912656307220459, -1.8481045961380005, -1.599652647972107, -1.012343168258667, -0.9384667277336121, -1.0544753074645996, -0.3846345841884613]"
synthetic_014.png,"[-1.49065101146698, 0.12827250361442566, 0.2573173940181732, -0.5005852580070496, -1.0186258554458618, 0.7881579995155334, 0.8252069354057312, 0.21113920211791992, 0.1619398593902588, -0.19233758747577667, 0.6753193140029907, -0.7490136623382568, -0.9711973667144775, 0.6326088905334473, -1.4227691888809204, -0.3238743841648102, -1.9640967845916748, -0.3432369828224182, -0.22775661945343018, 0.4811851978302002, -0.7491018176078796, -1.300742268562317, -0.7711276412010193, 0.08542899787425995, -0.9482266902923584, -1.914852261543274, 0.13511298596858978, 0.2781731188297272, 1.3145722150802612, -1.6389241218566895, -0.4002440869808197, -0.26727208495140076]"
synthetic_015.png,"[0.6186752319335938, -0.5485712885856628, 0.6693927049636841, 0.6670932173728943, -0.38631701469421387, 0.1478050947189331, 0.1519174724817276, 0.18837755918502808, -1.3166638612747192, 1.5434421300888062, 0.853183388710022, -1.1994305849075317, -0.782442033290863, 0.6031679511070251, -1.0224316120147705, -0.08613216876983643, -0.7745293378829956, -0.8242371082305908, 0.933958888053894, -1.0264347791671753, -0.19551444053649902, -0.3355511724948883, 1.4233192205429077, 0.44091713428497314, 1.6600396633148193, -1.8663742542266846, 0.6106480360031128, -0.5057008266448975, -1.0748522281646729, -1.9067963361740112, 1.0720634460449219, -0.41487258672714233]"
synthetic_016.png,"[-0.04897931218147278, 1.7254009246826172, 0.2400221973657608, -0.9175711274147034, 0.6332854628562927, -0.2839816212654114, -0.04302731901407242, -0.3284946084022522, 2.358365058898926, 0.8652235269546509, -1.321862816810608, 0.05842510983347893, -0.6867579817771912, -0.9458551406860352, -0.8689650893211365, -0.8799636363983154, -0.08299413323402405, 1.2544552087783813, 0.19537338614463806, 0.7649987936019897, 1.1829614639282227, 1.3019394874572754, -0.9569510817527771, -1.7724570035934448, -0.19619286060333252, -0.06839409470558167, 1.7063109874725342, -0.42687302827835083, 0.07881524413824081, 1.4534356594085693, 0.3765751123428345, -0.10373830795288086]"
synthetic_017.png,"[0.34545543789863586, -0.2710299789905548, -0.6367905735969543, 2.138671636581421, -0.5753662586212158, -0.9687519073486328, 0.6755138039588928, 1.5007450580596924, 0.1067347452044487, -0.12681512534618378, 0.32681742310523987, -1.6670849323272705, 1.4348323345184326, 0.018103713169693947, 0.08083214610815048, 0.07318715006113052, 0.7348161339759827, 1.4379791021347046, -0.4096992313861847, -0.13600999116897583, -0.410674124956131, -0.2169933021068573, -0.891930103302002, 0.2570187449455261, -0.8344732522964478, 0.4116910994052887, -0.04738592356443405, 0.6866006255149841, -0.03430948406457901, 0.4452036917209625, 0.3169073164463043, -0.7110624313354492]"
synthetic_018.png,"[0.4221913516521454, 0.018741078674793243, 1.1539301872253418, -0.4520411491394043, 0.4180672764778137, 0.8616273999214172, 0.40343961119651794, 0.4101167321205139, 0.794156014919281, 0.9698022603988647, 1.2639813423156738, -1.0086135864257812, 0.18746235966682434, -1.4759941101074219, -1.7520571947097778, 0.10130686312913895, -1.9333604574203491, -0.9523532390594482, 0.1779211014509201, 0.1680050939321518, 2.187849283218384, 0.7260228395462036, -0.7146894931793213, -0.7601417899131775, -0.31528252363204956, -0.3738248944282532, -1.1188287734985352, 0.5887191891670227, -1.3560898303985596, 0.8877269625663757, -0.4024532735347748, 0.2009163200855255]"
synthetic_019.png,"[-0.05090649053454399, 0.7257840037345886, 0.005965603049844503, -1.0288641452789307, -0.026866070926189423, -0.6004072427749634, 0.36833465099334717, 2.4737088680267334, -1.591326117515564, -0.11948861181735992, 1.5546748638153076, -0.31428319215774536, -1.8342857360839844, 0.29657384753227234, -1.134817361831665, -0.7273656725883484, -0.19532829523086548, -1.3166817426681519, -0.5448620319366455, 0.3866914212703705, -1.247846007347107, 0.5607444643974304, 0.06941288709640503, -0.615674614906311, -2.1731762886047363, 0.06819961220026016, 0.8555058836936951, -1.2800074815750122, -0.5946318507194519, 0.44355374574661255, 1.0407458543777466, 2.240100383758545]"
synthetic_020.png,"[0.16191664338111877, 0.7638765573501587, -0.024760551750659943, -0.2847333550453186, -0.14164188504219055, -0.36705026030540466, -2.6235573291778564, 1.2365825176239014, -1.9705158472061157, 0.3895893096923828, 0.4092601239681244, 1.4020183086395264, 0.21380922198295593, 0.8853535652160645, -0.15520602464675903, -1.8581100702285767, 0.8539177775382996, -1.0255078077316284, 0.8083861470222473, 1.262402892112732, 1.1532084941864014, 0.3646639585494995, -1.3898297548294067, 0.2569980025291443, 0.915442705154419, 0.6892259120941162, -0.8699551224708557, 1.220426082611084, -0.826768696308136, -1.2998353242874146, 0.14833413064479828, -0.00963892973959446]"
synthetic_021.png,"[3.0358235836029053, 0.09364459663629532, -0.33048421144485474, -0.22811470925807953, -0.39393630623817444, -2.1597964763641357, 0.5112930536270142, -0.024745546281337738, -0.9763705134391785, -0.6991168856620789, 0.06876447051763535, 0.34033024311065674, -0.3479309678077698, 0.4186020493507385, -0.31407690048217773, 0.24174968898296356, -0.4520096778869629, 1.0664650201797485, 0.028649121522903442, -0.41315674781799316, -0.9048817157745361, -0.8100385665893555, -1.0341615676879883, -3.12107253074646, 0.8171891570091248, 0.09666146337985992, 0.3364734947681427, 0.5775555372238159, -0.7845341563224792, 0.29732537269592285, 0.0022934454027563334, 0.3129851222038269]"
synthetic_022.png,"[-0.3957585096359253, -1.431762933731079, -2.1069512367248535, 0.2545338273048401, 1.2426120042800903, 0.49802857637405396, 0.04645382985472679, 0.25270316004753113, 2.0023186206817627, -0.07803338021039963, -1.2631882429122925, 0.15768025815486908, -0.3086449205875397, 0.00863017700612545, 0.36251020431518555, 0.29864996671676636, -0.9019996523857117, 0.10185746848583221, -0.6049979329109192, -0.9266404509544373, 1.1669466495513916, 0.38569629192352295, 0.15952643752098083, 2.137312412261963, 1.4475187063217163, -0.7649156451225281, 1.2009702920913696, 1.010643720626831, -0.5870516300201416, -0.9227325320243835, -1.6363627910614014, 0.03640986979007721]"
synthetic_023.png,"[1.5987658500671387, 0.026094982400536537, 0.22809496521949768, -0.426147997379303, -1.8503413200378418, 1.606524109840393, -0.6016387343406677, -0.3694997727870941, 0.468823105096817, 0.1681300699710846, 0.5293139219284058, -0.6291324496269226, 0.1445414274930954, 0.6352670192718506, 1.6342071294784546, -0.10398302227258682, -0.1693550944328308, -0.5096259117126465, -0.20074248313903809, 0.10570557415485382, 0.5589509010314941, -0.8310654759407043, 2.3882293701171875, 1.30681312084198, -1.7426371574401855, 0.674565315246582, 1.2207614183425903, 3.115485906600952, 0.27715179324150085, 0.7004815936088562, -0.35537251830101013, -1.7958946228027344]"
synthetic_024.png,"[-0.19712883234024048, -0.7845144271850586, -0.5350908637046814, 1.0279853343963623, -1.5951780080795288, -0.2355843484401703, 0.3288351893424988, 1.087406039237976, -0.2182595580816269, -1.4527361392974854, -0.978933572769165, 1.236013650894165, 1.53465735912323, -1.0588302612304688, -1.5179542303085327, 0.11152757704257965, 0.022167814895510674, -1.0038732290267944, 0.2986162006855011, -0.3459646999835968, -1.3211218118667603, -0.4141782522201538, -0.3565586507320404, 0.7170369029045105, -0.073470838367939, -0.5274330973625183, -1.775119662284851, 1.5807386636734009, -0.11998677998781204, 0.21671941876411438, -0.02181735448539257, 1.1555087566375732]"
synthetic_025.png,"[-1.5019525289535522, 0.1342468559741974, 0.0396333746612072, 0.6353340744972229, 0.8932899236679077, 0.7346605062484741, 1.5911582708358765, -1.155058741569519, 0.7006982564926147, -0.3917802572250366, -2.263801097869873, 0.17023710906505585, -0.7305846214294434, -0.7583397030830383, -0.16083432734012604, 0.0012465785257518291, 0.6561989188194275, -0.24566668272018433, 0.062067072838544846, 1.9864039421081543, 1.020064353942871, -0.2558000981807709, -1.2304133176803589, -1.2676093578338623, -0.28798750042915344, -1.0255237817764282, -1.2082477807998657, 0.5799769163131714, 0.6010820269584656, -0.03731488063931465, 0.8904266953468323, -0.17457665503025055]"
synthetic_026.png,"[1.286481261253357, -0.33629584312438965, 0.22640927135944366, -0.05620745196938515, 0.22042812407016754, -0.9611949324607849, 1.0256026983261108, 0.39371415972709656, -2.0373802185058594, -0.4484058916568756, 0.4135817289352417, -0.7419303059577942, 1.0430949926376343, -0.635408878326416, 0.48230841755867004, -2.0794966220855713, -0.5704806447029114, -0.6531252264976501, -0.06267162412405014, -1.5041297674179077, -0.6640616059303284, -1.839033842086792, -0.7106227874755859, 0.046251505613327026, -1.0339059829711914, 0.1366366744041443, -0.03859782591462135, 0.7857838273048401, -1.145021915435791, 0.8557830452919006, 0.5143432021141052, -0.2803747057914734]"
synthetic_027.png,"[-0.07308290898799896, -0.6390894651412964, 0.44614601135253906, 0.905301570892334, 0.6318668127059937, -0.03009742684662342, -0.23235389590263367, -3.0688772201538086, -1.0097358226776123, -0.8171800374984741, 0.9731462001800537, -0.5441976189613342, -0.38023173809051514, -0.4732459783554077, 1.2077945470809937, -0.32216501235961914, 0.5483896732330322, -0.9385543465614319, 2.5190536975860596, 0.5005156993865967, 0.8986558318138123, -0.3389189839363098, -0.9264753460884094, -0.27365508675575256, 0.4584231376647949, 2.2209739685058594, -0.14455276727676392, -0.1492980569601059, 0.736121654510498, -0.9756633639335632, 0.6587374806404114, 0.5565062761306763]"
synthetic_028.png,"[-0.5065498352050781, -0.19399993121623993, -0.12232349812984467, -0.8227272629737854, -0.44447097182273865, -0.28162235021591187, -1.224961280822754, -0.5953652262687683, -1.2853575944900513, 0.7269643545150757, -0.2337304651737213, -0.9983168244361877, 0.4995171129703522, 0.08501137793064117, -1.273359775543213, 0.8878269791603088, -0.03359774500131607, -1.4532078504562378, 0.7148783206939697, -0.7886905074119568, 2.726062297821045, 0.014084161259233952, 0.3174949884414673, 1.089782476425171, -0.010507060214877129, 1.4403643608093262, 0.7995035648345947, -1.1789774894714355, 0.742749810218811, 2.812812328338623, -2.6526834964752197, 0.744771420955658]"
synthetic_029.png,"[-0.32035860419273376, -1.1201224327087402, -1.5004768371582031, 1.250440239906311, 0.3566194176673889, -0.18299952149391174, -0.5430865287780762, 1.0976370573043823, 0.018729113042354584, -0.4394139349460602, 0.13769640028476715, 0.7101872563362122, -0.015064381994307041, -1.3550947904586792, 0.35276278853416443, 1.3904119729995728, -0.49676448106765747, 0.778374195098877, 0.23029480874538422, -2.272352457046509, 1.1664997339248657, -1.9834975004196167, -0.09820348769426346, 0.19343000650405884, 1.703698992729187, 0.46036961674690247, -0.20474840700626373, 0.4220961928367615, -0.9978117346763611, 0.7527916431427002, -0.4209330976009369, 0.13799318671226501]"
synthetic_030.png,"[0.26614129543304443, -0.5783898234367371, 2.651841402053833, -0.35180503129959106, -1.3416357040405273, 1.2091411352157593, -0.3930008113384247, 0.00927014835178852, 0.4958168566226959, -0.013940740376710892, 0.48303982615470886, 0.6410026550292969, 1.1404163837432861, -0.05941800773143768, 0.7121673226356506, 0.9048529267311096, -1.439941167831421, 1.3051254749298096, -0.3315739333629608, 0.9634073376655579, -0.44221019744873047, 0.8002173900604248, -0.5613266229629517, -1.5422284603118896, -0.009194745682179928, -0.19263961911201477, 0.9054449796676636, 1.3327018022537231, 0.23949870467185974, 2.088594675064087, -1.2418467998504639, 0.40019893646240234]"
synthetic_031.png,"[-0.12160191684961319, 0.20132657885551453, 0.5971195697784424, -0.37645092606544495, 0.7974061965942383, -0.0753931850194931, 2.003140926361084, -0.7283923625946045, 1.2461161613464355, -1.131704568862915, 0.19449150562286377, 0.21310152113437653, 0.35094085335731506, 0.7463893890380859, 0.14126402139663696, -1.1625046730041504, 0.3278486430644989, 0.45694130659103394, 0.7630549073219299, -0.7104810476303101, -1.51017427444458, -0.9667053818702698, 0.38142895698547363, -0.7050023674964905, -0.38816696405410767, 0.06967765837907791, -1.487749695777893, -2.751751184463501, 1.7946661710739136, -1.8229702711105347, 1.2369014024734497, -0.07656293362379074]"
synthetic_032.png,"[0.3001682460308075, -3.103177309036255, 0.17590275406837463, -1.0359199047088623, 1.138192892074585, 0.2671067416667938, 1.4824928045272827, -1.6832371950149536, -1.478272557258606, 1.6914026737213135, -0.8766212463378906, 0.43695899844169617, 1.169100046157837, 0.4080392122268677, -0.6582209467887878, 0.0391712561249733, -0.8576861023902893, -0.7457190155982971, -0.48377522826194763, 0.06221138313412666, 0.16586336493492126, 0.05388321727514267, 0.5997260212898254, 0.6704879403114319, 0.40175101161003113, -0.6091508269309998, 0.9229063987731934, -0.29579517245292664, -0.4400063157081604, 1.0420734882354736, -0.6748631596565247, -1.0862542390823364]"
